Question,Difficulty,Option 1,Option 2,Option 3,Option 4,Correct Answer,Selected
What does PAYE stand for?,Easy,Pay As You Earn,Personal Annual Yield,Private Annual Expense,Paid Annual Yield,Pay As You Earn,0
What is PRSI?,Easy,Pay Related Social Insurance,Personal Retirement Savings Income,Public Revenue Service Ireland,Private Retirement Savings Insurance,Pay Related Social Insurance,0
What is USC in Ireland?,Easy,Universal Social Charge,United Savings Contribution,Union Salary Contribution,Unemployment Support Charge,Universal Social Charge,0
Which of these affects your take-home pay?,Easy,Income Tax,Weather,Favorite Sport,Height,Income Tax,0
What is the standard tax rate in Ireland for most income?,Easy,20%,10%,30%,25%,20%,0
Which of these is a tax credit?,Easy,Single Person Tax Credit,Car Tax,Property Tax,TV License,Single Person Tax Credit,0
Which payslip item shows gross pay?,Easy,Gross Pay,Net Pay,Deductions,USC,Gross Pay,0
What is net pay?,Easy,Money after deductions,Money before tax,Total expenses,Pension contribution,Money after deductions,0
Which age group can claim the Jobseeker's Benefit?,Easy,Young adults,Retired people,Children under 18,All adults,Young adults,0
What does the term 'allowance' usually refer to in tax?,Easy,Amount you can earn without tax,Monthly pocket money,Government loan,Salary bonus,Amount you can earn without tax,0
Which of these is a mandatory deduction from salary?,Easy,PAYE,Netflix subscription,Gym membership,Phone bill,PAYE,0
What is the main purpose of PRSI?,Easy,Contribute to social insurance benefits,Buy groceries,Pay for education,Save for retirement,Contribute to social insurance benefits,0
Which of these affects how much USC you pay?,Easy,Income level,Height,Favorite color,Age,Income level,0
How often do most people get paid in Ireland?,Easy,Weekly or monthly,Daily,Quarterly,Yearly,Weekly or monthly,0
What does 'gross income' mean?,Easy,Income before any deductions,Income after taxes,Savings in the bank,Bonus from work,Income before any deductions,0
Which of these is NOT a deduction on a payslip?,Easy,Netflix subscription,PAYE,PRSI,USC,Netflix subscription,0
Which type of tax do you pay on your salary?,Easy,Income Tax,Car Tax,VAT,Council Tax,Income Tax,0
What is a common way to manage spending?,Easy,Budgeting,Ignoring bills,Borrowing randomly,Gambling,Budgeting,0
Which of these is an example of discretionary spending?,Easy,Eating out,Rent,Taxes,Utilities,Eating out,0
What does 'tax credit' do?,Easy,Reduces tax you owe,Increases tax you pay,Is a bonus payment,Pays your rent,Reduces tax you owe,0
Which of these counts as income?,Easy,Salary,Birthday gifts,Pocket money from parents,Discount vouchers,Salary,0
Which of these would reduce your net pay?,Easy,Higher income tax,Winning lottery,Selling old items,Receiving a gift,Higher income tax,0
Which of these is a fixed monthly cost?,Easy,Rent,Eating out,Movie tickets,Clothes shopping,Rent,0
